,Year,Institution_ID,Source_ID,Variant_Label,Experiment_ID,Annual_Mean_Temp
69,1969,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.27829642009455
70,1970,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.21748476772163
71,1971,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.344951807942822
72,1972,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.465133250918813
73,1973,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.344745164564452
74,1974,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.196226009634747
75,1975,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.260152887696764
76,1976,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.43252119215488
77,1977,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.234430694122034
78,1978,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.204183051464469
79,1979,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.220664845372154
80,1980,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.258475062098286
81,1981,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.382134476579735
82,1982,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.415243201027494
83,1983,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.241697843566895
84,1984,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.270364552932955
85,1985,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.429606294403696
86,1986,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.42850124857099
87,1987,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.391091011916878
88,1988,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.51819424008773
89,1989,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.48541487985446
90,1990,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.567149790264255
91,1991,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.503036713321714
92,1992,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.442660748830194
93,1993,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.442645445229944
94,1994,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.381691467655346
95,1995,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.513016934134152
96,1996,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.606443955867308
97,1997,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.712752526027112
98,1998,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.73725513873656
99,1999,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.722574219659037
100,2000,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.677523633359423
101,2001,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.660424389999477
102,2002,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.847466647920427
103,2003,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,15.018390592601406
104,2004,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.855716413820312
105,2005,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.795279116230674
106,2006,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.825963518635165
107,2007,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.785678178790091
108,2008,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.816150617351733
109,2009,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.979927751196243
110,2010,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,15.165594855729074
